DATASET,GENERAL_SITE_ID,LOCAL_SITE_NAME,SITE_TYPE,BASIN_NAME,GSA_NAME,GSP_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,RP_ELEVATION,RP_DESCRIPTION,GS_ELEVATION,MEAS_METHOD,MEAS_ACC,LATITUDE,LONGITUDE,COUNTY
subsidence,225,SUB094,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.4851,-120.005,Fresno
subsidence,226,SUB097,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.4864,-120.098,Fresno
subsidence,227,SUB010,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7467,-119.822,Fresno
subsidence,228,SUB015,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7503,-119.814,Fresno
subsidence,229,SUB019,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.6626,-119.97,Fresno
subsidence,230,SUB025,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7977,-119.52,Fresno
subsidence,231,SUB031,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.875,-119.792,Fresno
subsidence,232,SUB033,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.6985,-119.758,Fresno
subsidence,233,SUB043,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7285,-119.585,Fresno
subsidence,234,SUB044,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7928,-119.861,Fresno
subsidence,235,SUB048,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.8668,-119.561,Fresno
subsidence,236,SUB049,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.815,-119.887,Fresno
subsidence,237,SUB051,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7722,-119.61,Fresno
subsidence,238,SUB056,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7641,-120.105,Fresno
subsidence,239,SUB069,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7375,-119.499,Fresno
subsidence,240,SUB077,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7631,-119.511,Fresno
subsidence,241,SUB079,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7524,-119.7,Fresno
subsidence,242,SUB080,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.721,-119.881,Fresno
subsidence,243,SUB082,Surveying/Benchmark Sites,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7312,-120.006,Fresno
subsidence,244,SUB067,Surveying/Benchmark Sites,5-022.06 Madera,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.844,-119.934,Fresno
subsidence,245,Plainview Well 03,Surveying/Benchmark Sites,5-022.11 Kaweah,East Kaweah GSA,EKGSA 2nd Amended GSP,SGMA Representative,"Land Subsidence,Land Subsidence",0,Unknown,0,Unknown,Unknown,36.143,-119.13,Tulare
