GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,TOTAL_GROUNDWATER_EXTRACTIONS,WUS_URBAN,WUS_INDUSTRIAL,WUS_AGRICULTURAL,WUS_MANAGED_WETLANDS,WUS_MANAGED_RECHARGE,WUS_VEGETATION,WUS_OTHER,WUS_OTHER_EXPLANATION
439,,2024,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,30297,4,0,29472,0,0,821,0,
500,,2025,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,305800,6800,0,299000,0,0,0,0,
566,,2025,COSUMNES,5-022.16,Single Annual Report,Entire Basin,123300,5000,11000,107300,0,0,0,0,
484,,2025,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,442300,21500,6800,396000,18000,0,0,0,
573,,2025,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,57710,6732,0,50978,0,0,0,0,
545,,2025,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,801112,54610,0,749503,0,0,0,0,
490,,2025,KAWEAH,5-022.11,Single Annual Report,Entire Basin,635000,59900,21500,553200,0,24200,400,0,
537,,2025,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,1214614,160542,5973,856449,0,145826,0,45823,"Lake Management, Use outside of Subbasin"
572,,2025,KINGS,5-022.08,Single Annual Report,Entire Basin,1555781,154235,0,1371193,0,96701,0,30353,JID Wells Pumped in McMullin GSA
501,,2025,MADERA,5-022.06,Single Annual Report,Entire Basin,567900,29900,0,538000,0,0,0,0,
487,,2025,MERCED,5-022.04,Single Annual Report,Entire Basin,652307,45364,0,596664,10278,0,0,0,
489,,2025,MODESTO,5-022.02,Single Annual Report,Entire Basin,279800,47700,0,232100,0,0,0,0,
568,,2025,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,32381,200,0,27354,0,3942,0,1085,"Domestic Well Users, and Evaportaion Loss"
554,,2025,TRACY,5-022.15,Single Annual Report,Entire Basin,8500,3621,90,2317,0,1734,0,2488,Remediation
567,,2025,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,392833,24940,1704,357414,0,0,0,8775,other water
574,,2025,TULE,5-022.13,Single Annual Report,Entire Basin,527820,16760,0,498360,0,0,0,12700,Water used for export
535,,2025,TURLOCK,5-022.03,Single Annual Report,Entire Basin,392700,34200,0,358500,0,0,0,0,
571,,2025,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,52000,0,0,52000,0,0,0,130,Small water systems and domestic use
556,,2025,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,31537,7,0,30630,0,0,900,0,
