PROGRAM_TYPE,GENERAL_SITE_ID,LOCAL_SITE_NAME,SITE_TYPE,BASIN_NAME,GSP_NAME,GSA_NAME,ALT_AGENCY_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,STATE_WELL_NUMBER,RP_ELEVATION,RP_DESCRIPTION,RP_ELEVATION_SUBSURFACE,GS_ELEVATION,MEAS_METHOD,MEAS_ACC,LATITUDE,LONGITUDE,DEPTH,CASED_DEPTH,DEPTH_TOP,DEPTH_BOTTOM,COUNTY,CREATED_DT,UPDATED_DT
SGMA,172,SUB060,Surveying/Benchmark Sites,5-022.08 Kings,Kings_McMullinArea_Adopted,McMullin Area GSA,,SGMA Representative,Land Subsidence,Unknown,,0,Unknown,0,0,Surveyed to a benchmark,0.1 ft.,36.5797,-119.876,,,,,Fresno,2020-01-17 14:45:35.166110,2020-01-17 14:45:35.166110
SGMA,173,SUB085,Surveying/Benchmark Sites,5-022.08 Kings,Kings_McMullinArea_Adopted,McMullin Area GSA,,SGMA Representative,Land Subsidence,Unknown,,0,Unknown,0,0,Surveyed to a benchmark,0.1 ft.,36.6476,-120.025,,,,,Fresno,2020-01-17 14:45:35.179832,2020-01-17 14:45:35.179832
SGMA,174,14S/13E-11D6,Extensometer,5-022.09 Westside,,Westlands Water District GSA,,SGMA Representative,Land Subsidence,Lower Aquifer,14S13E11D006M,287.48,None Provided,0,1,Unknown,0.1 ft.,36.7328,-120.531,1358,1358,858,1070,Fresno,2020-01-19 10:08:57.715212,2020-01-19 10:08:57.715212
SGMA,175,18S/16E-33A1,Extensometer,5-022.09 Westside,,Westlands Water District GSA,,SGMA Representative,Land Subsidence,Lower Aquifer,18S16E33A001M,323.6,None Provided,0,322.6,Unknown,0.1 ft.,36.3261,-120.23,1070,1070,858,1070,Fresno,2020-01-19 10:17:25.814689,2020-01-19 10:17:25.814689
SGMA,176,20S/18E-06D1,Extensometer,5-022.09 Westside,,Westlands Water District GSA,,SGMA Representative,Land Subsidence,Lower Aquifer,20S18E06D001M,328.73,None Provided,0,327.73,Unknown,0.1 ft.,36.2261,-120.066,1007,1007,720,1007,Fresno,2020-01-19 10:23:13.254398,2020-01-19 10:23:13.254398
SGMA,180,Fordel-Ext,Extensometer,5-022.07 Delta-Mendota,DM_FresnoCounty_Adopted,County of Fresno GSA - Delta-Mendota Management Area A,,SGMA Representative,"Land Subsidence,Land Subsidence",Upper Aquifer,,163,Ground surface,0,163,Unknown,0.1 ft.,36.7556,-120.369,462,462,,,Fresno,2020-01-21 10:47:53.427420,2020-01-21 10:47:53.427420
SGMA,180,Fordel-Ext,Extensometer,5-022.07 Delta-Mendota,,County of Fresno GSA - Delta-Mendota Management Area A,,SGMA Representative,"Land Subsidence,Land Subsidence",Upper Aquifer,,163,Ground surface,0,163,Unknown,0.1 ft.,36.7556,-120.369,462,462,,,Fresno,2020-01-21 10:47:53.427420,2020-01-21 10:47:53.427420
SGMA,181,P304 - GPS,Continuous GPS,5-022.07 Delta-Mendota,DM_FresnoCounty_Adopted,County of Fresno GSA - Delta-Mendota Management Area A,,SGMA Representative,"Land Subsidence,Land Subsidence",Composite (Upper and Lower Aquifer),,167.848,Unknown,,167.848,GPS,0.1 ft.,36.738,-120.354,,,,,Fresno,2020-01-21 10:52:57.492645,2020-01-21 10:52:57.492645
SGMA,181,P304 - GPS,Continuous GPS,5-022.07 Delta-Mendota,,County of Fresno GSA - Delta-Mendota Management Area A,,SGMA Representative,"Land Subsidence,Land Subsidence",Composite (Upper and Lower Aquifer),,167.848,Unknown,,167.848,GPS,0.1 ft.,36.738,-120.354,,,,,Fresno,2020-01-21 10:52:57.492645,2020-01-21 10:52:57.492645
SGMA,188,SUB006,Surveying/Benchmark Sites,5-022.08 Kings,Kings_SouthKings_Adopted,South Kings GSA,,SGMA Representative,Land Subsidence,,,0,Unknown,,0,Surveyed to a benchmark,0.1 ft.,36.6344,-119.692,,,,,Fresno,2020-01-23 14:26:43.654779,2020-01-23 14:26:43.654779
