GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METHOD_USED,TOTAL_WATER_USE,WST_EXPLANATION,WST_GROUNDWATER,WST_OTHER,WST_RECYCLED_WATER,WST_REUSED_WATER,WST_SURFACE_WATER,WUS_AGRICULTURAL,WUS_EXPLANATION,WUS_INDUSTRIAL,WUS_MANAGED_RECHARGE,WUS_MANAGED_WETLANDS,WUS_NATIVE_VEGETATION,WUS_OTHER,WUS_URBAN
203,,2022,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,Total water use is the sum of groundwater use (Part A) and surface water use (Part C).,1370879,,818507,0,0,0,552372,1263098,,0,0,0,0,0,107781
257,,2022,KAWEAH,5-022.11,Single Annual Report,Entire Basin,Sum of groundwater use plus water supplies minus conveyance losses,1078800,,925400,0,12200,0,178800,842700,,21800,11900,0,400,0,60400
270,,2022,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,"Meters, Land Use Calculations, Groundwater Model",3166637,,2343630,0,48520,403,774085,2245544,"Banking Recovery, exchanges and pumpins",0,73188,14377,0,636554,196974
249,,2022,KINGS,5-022.08,Single Annual Report,Entire Basin,Sum of all water supplies,2573950,Riparian water diversions,1943168,32066,4756,0,593960,2240322,JID Wells Pumped in McMullin GSA,0,59990,0,0,36665,236964
"196,236,262,269",,2022,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,801680,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,647573,78710,176,0,46472,739747,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,226,0,19960,0,41440
180,,2022,MERCED,5-022.04,Single Annual Report,Entire Basin,"Total water use is a simple sum (by sector) of the groundwater use and total surface water available for use. Groundwater use was calculated by a mixture of direct measurements, estimates from the MercedWRM, and estimates from Merced National Wildlife Refuge staff. Surface water diversions were measured directly.",1233079,,882399,0,0,0,350680,1171202,,0,0,10300,0,0,51578
191,,2022,MODESTO,5-022.02,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by Agencies or Cities, and by estimates using the Groundwater model C2VSimTM. Surface water supply was obtained by measurements of Agencies, water rights (eWRIMS) data in conjunction with demands simulated by the C2VSimTM model.",650700,,364100,0,0,0,286600,573300,,0,0,0,0,0,77400
277,,2022,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,Flowmeters-Direct,40100,,36500,0,350,0,3500,36500,,0,0,0,0,0,3500
230,,2022,TRACY,5-022.15,Single Annual Report,Entire Basin,"Metered, Estimated",156765,,28586,0,527,0,127652,123981,Remediation,519,1519,0,0,1038,29708
255,,2022,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,"Sum of surface water deliveries, groundwater extraction, and effective precipitation.",851315,,549066,0,0,0,204458,818965,Rural Domestic,0,0,0,0,8190,24160
